messageId,platform,runtimeKey,namespace,owner,surface,status,displayPolicy,maxLength,emptyLocales,termIds,context,route,component,screenshotRef,ko,en,ja,zh,th,vi,serverMessageKey,updatedAt
entity.account.profileImageAlt,web,entity.account.profileImageAlt,entity.account,account,accessibility,imported,,,,,,,,,{{name}} 프로필 이미지,{{name}} profile image,{{name}}のプロフィール画像,{{name}} 头像,รูปโปรไฟล์ {{name}},{{name}} ảnh hồ sơ,,2026-06-10
entity.account.userFallback,web,entity.account.userFallback,entity.account,account,text,imported,,,,,,,,,사용자,User,ユーザー,用户,ผู้ใช้,người dùng,,2026-06-10
entity.ward.codeChecking,web,entity.ward.codeChecking,entity.ward,ward,text,imported,,,,,,,,,확인 중,Checking,確認中,检查,กำลังตรวจสอบ,Kiểm tra,,2026-06-10
entity.ward.codeFallback,web,entity.ward.codeFallback,entity.ward,ward,text,imported,,,,,,,,,병동코드,Ward code,病棟コード,区号,รหัสวอร์ด,Mã khoa,,2026-06-10
entity.ward.displayInfo,web,entity.ward.displayInfo,entity.ward,ward,description,imported,,,,,,,,,병동 정보,Ward information,病棟情報,区信息,ข้อมูลวอร์ด,Thông tin khoa,,2026-06-10
error.accessDenied,server,error.accessDenied,error.accessDenied,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,접근이 거부되었습니다.,Access was denied.,アクセスが拒否されました。,访问被拒绝。,การเข้าถึงถูกปฏิเสธ,Quyền truy cập đã bị từ chối.,error.accessDenied,2026-06-10
error.accountNameMissing,server,error.accountNameMissing,error.accountNameMissing,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,소셜 로그인 계정 이름을 확인할 수 없습니다.,Could not verify the social login account name.,ソーシャルログインアカウントの名前を確認できません。,无法验证您的社交登录帐户名。,ไม่สามารถตรวจสอบชื่อบัญชีเข้าสู่ระบบโซเชียลได้,Không thể xác minh tên tài khoản đăng nhập xã hội.,error.accountNameMissing,2026-06-10
error.adminAccountDisabled,server,error.adminAccountDisabled,error.adminAccountDisabled,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,비활성화된 관리자 계정입니다.,This admin account is disabled.,無効化された管理者アカウントです。,这是一个已禁用的管理员帐户。,บัญชีผู้ดูแลระบบนี้ถูกปิดใช้งาน,Tài khoản quản trị viên này đã bị vô hiệu hóa.,error.adminAccountDisabled,2026-06-10
error.adminAccountNotFound,server,error.adminAccountNotFound,error.adminAccountNotFound,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,관리자 계정을 찾을 수 없습니다.,The admin account could not be found.,管理者アカウントが見つかりません。,未找到管理员帐户。,ไม่พบบัญชีผู้ดูแลระบบ,Không thể tìm thấy tài khoản quản trị viên.,error.adminAccountNotFound,2026-06-10
error.adminAlreadyExists,server,error.adminAlreadyExists,error.adminAlreadyExists,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,이미 등록된 관리자입니다.,This admin is already registered.,すでに登録済みの管理者です。,您已经是注册管理员。,ผู้ดูแลระบบรายนี้ลงทะเบียนแล้ว,Quản trị viên này đã được đăng ký.,error.adminAlreadyExists,2026-06-10
error.adminFeatureDisabled,server,error.adminFeatureDisabled,error.adminFeatureDisabled,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,관리자 기능이 비활성화되어 있습니다.,The admin feature is disabled.,管理者機能が無効化されています。,管理员功能被禁用。,คุณลักษณะผู้ดูแลระบบถูกปิดใช้งาน,Tính năng quản trị viên bị vô hiệu hóa.,error.adminFeatureDisabled,2026-06-10
error.adminPermissionRequired,server,error.adminPermissionRequired,error.adminPermissionRequired,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,관리자 권한이 필요합니다.,Admin permission is required.,管理者権限が必要です。,需要管理员权限。,ต้องได้รับอนุญาตจากผู้ดูแลระบบ,Cần có sự cho phép của quản trị viên.,error.adminPermissionRequired,2026-06-10
error.authError,server,error.authError,error.authError,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,인증에 실패하였습니다.,Authentication failed.,認証に失敗しました。,认证失败。,การตรวจสอบสิทธิ์ล้มเหลว,Xác thực không thành công.,error.authError,2026-06-10
error.boardDeadlineEventReadOnly,server,error.boardDeadlineEventReadOnly,error.boardDeadlineEventReadOnly,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,게시판 마감일 일정은 직접 수정할 수 없습니다.,Board deadline events cannot be edited directly.,掲示板の締切予定は直接編集できません。,公告牌到期日安排不能直接修改。,เหตุการณ์กำหนดเวลาของบอร์ดไม่สามารถแก้ไขได้โดยตรง,Các sự kiện thời hạn của bảng không thể được chỉnh sửa trực tiếp.,error.boardDeadlineEventReadOnly,2026-06-10
error.boardPostNotFound,server,error.boardPostNotFound,error.boardPostNotFound,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,병동 게시글을 찾을 수 없습니다.,The ward board post could not be found.,病棟掲示板の投稿が見つかりません。,没有找到病区帖子。,ไม่พบโพสต์กระดานวอร์ด,Không thể tìm thấy bài viết của hội đồng khoa.,error.boardPostNotFound,2026-06-10
error.calendarEventPermissionDenied,server,error.calendarEventPermissionDenied,error.calendarEventPermissionDenied,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,캘린더 일정 권한이 없습니다.,You do not have permission for this calendar event.,このカレンダー予定への権限がありません。,您没有日历事件权限。,คุณไม่มีสิทธิ์สำหรับกิจกรรมในปฏิทินนี้,Bạn không có quyền đối với sự kiện lịch này.,error.calendarEventPermissionDenied,2026-06-10
error.cannotRemoveOwner,server,error.cannotRemoveOwner,error.cannotRemoveOwner,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,최고 관리자는 제거할 수 없습니다.,The owner cannot be removed.,オーナーは削除できません。,超级管理员无法删除。,ไม่สามารถลบเจ้าของออกได้,Không thể xóa chủ sở hữu.,error.cannotRemoveOwner,2026-06-10
error.cannotRemoveSelf,server,error.cannotRemoveSelf,error.cannotRemoveSelf,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,자기 자신은 제거할 수 없습니다.,You cannot remove yourself.,自分自身は削除できません。,你无法摆脱自己。,คุณไม่สามารถลบตัวเองออกได้,Bạn không thể loại bỏ chính mình.,error.cannotRemoveSelf,2026-06-10
error.emailAlreadyUsed,server,error.emailAlreadyUsed,error.emailAlreadyUsed,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,이미 사용 중인 이메일입니다.,This email is already in use.,このメールアドレスはすでに使用されています。,该电子邮件已被使用。,อีเมลนี้มีการใช้งานแล้ว,Email này đã được sử dụng.,error.emailAlreadyUsed,2026-06-10
error.emailVerificationRequired,server,error.emailVerificationRequired,error.emailVerificationRequired,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,이메일 인증이 필요합니다.,Email verification is required.,メール認証が必要です。,需要进行电子邮件验证。,จำเป็นต้องมีการยืนยันอีเมล,Cần phải xác minh email.,error.emailVerificationRequired,2026-06-10
